full_name,goals_scored,assists,total_points,minutes,goals_conceded,creativity,influence,threat,bonus,bps,ict_index,clean_sheets,red_cards,yellow_cards,selected_by_percent,id
Bradley Guzan,0,0,36,900,17,0.0,228.4,0.0,3,197,22.9,3,0,0,0.7,490
Bradley Smith,0,0,4,269,9,30.3,28.6,27.0,0,35,8.6,0,0,1,5.7,234
Brahim Diaz,0,0,5,50,1,5.6,6.8,53.0,0,14,6.6,0,0,0,0.0,493
Brandon Mason,0,0,1,113,5,0.8,11.4,0.0,0,13,1.2,0,0,0,1.2000000000000002,1027
Branislav Ivanovic,0,1,23,589,9,69.4,114.6,112.0,2,143,29.4,1,0,2,2.7,76
Brendan Galloway,0,0,9,247,3,18.4,33.0,25.0,0,44,7.5,1,0,0,0.2,129
Brian Lenihan,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,1.1,148
Brice Dja Djédjé,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,481
Bruno Martins Indi,1,0,126,4388,78,82.69999999999999,924.4000000000001,326.0,9,805,133.7,12,0,7,0.7,1075
Bruno Saltor Grau,0,0,84,2014,23,174.1,360.4,35.0,8,423,57.2,10,0,3,0.8,58
Bryan Oviedo,0,0,29,1323,26,155.4,250.6,37.0,0,223,44.4,3,0,4,0.1,140
Callum Hudson-Odoi,0,0,2,27,1,1.7,8.8,27.0,0,11,3.8,0,0,0,0.0,583
Callum McManaman,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,443
Callum Wilson,14,3,165,3342,58,414.09999999999997,621.2,1286.0,15,452,229.7,12,0,0,5.6,97
Calum Chambers,2,1,106,3114,51,147.0,920.0,214.0,7,670,128.2,9,0,5,3.8,491
Cameron Borthwick-Jackson,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,252
Cameron Brannagan,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,210
Cameron Carter-Vickers,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,1012
Carl Jenkinson,0,0,2,82,1,2.0,19.4,0.0,0,12,2.1,0,0,0,0.30000000000000004,18
Carl Stewart,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,1235
Carlos De Pena,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.2,287
Cenk Tosun,5,0,55,984,13,226.4,232.4,304.0,9,192,75.6,4,0,0,2.1,592
Cesc Fàbregas,7,19,210,3640,40,2231.1,1348.8,810.0,21,1068,439.0,15,1,12,6.4,188
Chancel Mbemba,0,0,20,670,11,67.1,158.2,6.0,3,133,23.2,1,0,0,10.1,494
Charlie Adam,1,4,69,1896,32,592.0,336.59999999999997,412.0,5,275,133.8,8,1,9,0.4,666
Charlie Austin,13,2,134,1958,23,223.70000000000002,577.0,1262.0,19,433,205.60000000000002,10,0,3,3.2,640
Charlie Daniels,5,6,228,6061,103,1008.0,1280.4,498.0,18,1279,278.8,16,0,1,16.5,67
Charlie Rowan,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,619
Charlie Taylor,0,0,23,949,12,86.8,184.2,4.0,0,132,27.5,2,0,3,0.4,81
Charly Musonda,0,1,6,35,0,18.5,20.6,14.0,0,15,5.0,0,0,0,0.0,471
Cheikhou Kouyaté,3,4,165,5521,102,409.79999999999995,938.8,520.0,5,805,186.6,16,0,8,1.0,910
Chris Brunt,3,12,180,4394,60,1325.6,931.2,495.0,17,842,276.0,13,0,10,2.8,872
Chris Long,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.3,72
Chris Löwe,0,0,60,1585,26,125.5,266.0,39.0,0,321,43.0,7,0,1,1.1,165
Chris Smalling,5,1,175,3752,40,71.4,1086.4,325.0,10,872,148.6,15,0,4,12.6,507
Chris Wood,10,1,104,1621,11,203.5,442.0,692.0,20,314,133.8,10,0,1,1.7,518
Christian Atsu,2,4,78,1776,22,340.6,308.8,480.0,5,236,112.9,6,0,1,1.2,300
Christian Benteke,18,9,220,5365,94,891.0999999999999,965.4000000000001,2607.0,18,556,443.6,13,0,16,12.0,347
Christian Eriksen,19,30,417,6377,57,3166.2,2047.1999999999998,2265.0,53,1624,747.9,33,0,0,37.3,781
Christian Fuchs,2,5,161,5020,92,818.5999999999999,1198.6,207.0,18,1049,222.9,12,0,11,7.6,360
Christian Kabasele,4,0,103,3100,58,101.1,845.4,303.0,3,550,125.4,7,0,6,0.5,817
Christopher Schindler,0,2,102,3264,53,107.1,928.0,149.0,15,692,119.1,9,1,6,3.2,164
Chuba Akpom,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,493
Chung-yong Lee,0,1,32,602,16,157.0,75.60000000000001,54.0,0,126,28.5,2,0,0,0.6,245
Ciaran Clark,2,1,64,1745,30,50.8,433.6,190.0,6,317,67.5,4,0,3,1.5,289
Claudio Bravo,0,0,83,2192,27,0.0,337.4,0.0,4,408,33.4,7,0,0,1.7,782
Claudio Yacob,0,0,77,3316,53,137.6,488.8,92.0,0,490,72.2,7,0,14,0.4,871
Clinton N'Jie,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,404
Collin Quaner,0,4,44,1268,23,255.7,209.0,283.0,0,173,74.8,3,0,4,4.8,186
Connor Goldson,0,0,6,199,5,3.5,40.4,55.0,0,36,9.9,1,0,1,2.6,61
Connor Mahoney,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,585
Connor Randall,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,1.7,196
Connor Roberts,0,0,7,267,4,12.8,26.2,2.0,0,41,4.1,0,0,0,0.3,1252
Connor Wickham,2,0,18,412,6,36.2,87.6,132.0,0,59,25.0,0,0,1,0.3,255
Conor Masterson,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,639
Costel Pantilimon,0,0,2,83,4,0.0,41.6,0.0,0,20,4.1,0,0,0,0.5,802
Craig Cathcart,0,1,45,1657,27,63.7,345.2,68.0,3,273,47.800000000000004,3,0,4,0.2,807
Craig Dawson,6,1,189,5786,89,498.40000000000003,1372.0,716.0,10,953,259.1,14,0,16,4.0,857
Craig Gardner,0,1,14,218,6,137.9,35.4,11.0,0,52,18.3,1,0,1,0.1,440
Cristhian Stuani,4,0,54,1355,15,132.4,224.0,430.0,4,203,78.3,4,0,4,2.4,293
Cristian Gamboa,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.4,435
Cuco Martina,0,2,86,2422,36,353.5,563.0,59.0,5,507,97.60000000000001,8,0,2,1.5,766
Curtis Davies,0,2,38,2135,53,33.0,644.6,128.0,3,368,80.5,1,0,4,1.3,149
Curtis Jones,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,640
Cédric Soares,0,6,187,5309,80,1104.5,1098.0,314.0,13,1065,251.89999999999998,18,0,10,6.7,611
César Azpilicueta,3,11,345,6750,71,958.5,1760.1999999999998,318.0,47,1785,304.3,31,0,5,39.1,174
Dael Fry,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.5,277
Dale Stephens,0,3,87,3240,50,272.5,625.8,176.0,2,550,107.7,10,0,6,1.2,63
Daley Blind,1,2,126,2190,17,519.6,599.8,137.0,15,644,125.5,13,0,2,5.6000000000000005,524
Damian Emiliano Martinez,0,0,8,180,3,0.0,30.6,0.0,0,35,3.1,1,0,0,1.2,660
Damien Delaney,0,2,52,2109,44,79.89999999999999,536.6,67.0,3,363,68.1,3,0,8,0.7,228
Dan Gosling,4,1,108,3307,65,443.9,650.4,442.0,6,508,153.8,5,0,14,0.2,86
Daniel Agyei,0,0,3,25,0,0.3,1.0,11.0,0,6,0.8,0,0,0,0.0,651
Daniel Amartey,1,1,66,2159,42,214.3,335.6,109.0,3,315,66.2,7,1,3,0.4,386
Daniel Ayala,1,0,31,918,16,10.4,220.8,166.0,0,174,39.8,3,0,3,0.1,275
Daniel Bachmann,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,582
Daniel Batty,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,676
Daniel Drinkwater,2,1,93,2986,51,395.20000000000005,518.2,267.0,4,501,117.7,9,0,6,3.8000000000000003,381
Daniel James,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,598
Daniel Kemp,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,675
Daniel Lafferty,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.3,502
Daniel Sturridge,5,6,86,1316,15,412.70000000000005,339.0,796.0,2,311,154.2,6,0,1,2.5,450
Danilo Luiz da Silva,3,2,100,1340,11,158.1,376.0,176.0,8,398,71.1,9,0,2,2.8,483
Danny Ings,1,1,18,262,0,42.0,57.8,143.0,0,53,24.0,3,0,0,0.4,453
Danny Rose,2,5,108,2330,25,553.1,546.8,354.0,6,493,145.5,10,0,12,4.6,761
Danny Simpson,0,3,140,5294,91,320.2,975.4000000000001,92.0,4,871,138.60000000000002,14,0,16,4.300000000000001,365
Danny Ward,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,530
Danny Welbeck,7,4,107,1926,32,302.70000000000005,454.6,756.0,6,366,151.5,7,0,1,2.0,52
Danny Williams,0,0,28,1115,22,83.0,131.4,56.0,0,134,27.0,0,0,2,0.0,184
Darren Fletcher,3,4,170,5448,94,722.1,739.4,332.0,5,790,179.0,12,0,0,8.5,785
Darren Randolph,0,0,69,1980,39,0.0,484.8,0.0,5,370,48.7,4,0,1,1.3,890
Darron Gibson,0,0,17,640,12,51.5,72.4,16.0,0,101,13.8,1,0,4,0.1,138
Daryl Janmaat,5,2,109,3432,70,452.9,754.4,507.0,3,603,171.7,4,0,5,0.6000000000000001,944
Daryl Murphy,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.7,304
David De Gea,0,0,172,3330,28,10.0,821.2,0.0,10,757,83.4,18,0,0,44.3,260
David Jones,0,0,1,86,1,11.7,0.0,2.0,0,8,1.3,0,0,1,0.0,61
David Luiz Moreira Marinho,2,3,164,3792,39,180.4,861.2,345.0,10,861,138.7,18,1,9,13.1,671
David Marshall,0,0,32,1440,44,0.3,423.0,0.0,0,262,42.3,0,0,0,0.1,554
David Meyler,1,0,33,962,23,123.6,164.6,81.0,0,179,37.1,2,0,2,0.2,161
David Nugent,0,0,4,43,0,3.3,3.4,2.0,0,11,0.7,0,0,0,0.2,291
David Ospina,0,0,21,523,7,0.0,104.6,0.0,1,104,10.6,2,0,0,0.4,2
David Silva,13,20,299,5191,50,2506.9,1547.0,1668.0,38,1292,572.7,26,0,11,14.3,478
David de Gea,0,0,136,3150,29,10.0,542.4,0.0,5,575,55.0,14,0,2,33.2,242
Davide Zappacosta,1,1,58,1087,15,245.3,255.2,329.0,1,226,82.6,5,0,0,0.2,543
Davinson Sánchez,0,0,107,2532,21,74.8,598.0,89.0,8,597,76.2,13,1,1,1.2,520
Davy Klaassen,0,0,7,248,6,33.7,23.0,28.0,0,18,8.3,0,0,0,0.4,158
Davy Pröpper,0,4,87,3118,50,297.1,535.8,255.0,1,446,108.9,9,1,2,0.1,490
DeAndre Yedlin,0,2,88,2842,37,340.7,494.4,63.0,5,467,90.0,7,0,5,1.9,677
Dean Marney,1,2,51,1764,28,88.7,244.4,73.0,1,239,40.5,5,0,7,0.4,147
Dean Whitehead,0,0,4,68,3,1.1,6.6,0.0,0,16,0.8,0,0,0,0.1,178
Declan Rice,0,0,42,1422,29,36.0,311.0,29.0,0,283,37.6,3,0,1,0.1,1128
Dejan Lovren,4,2,216,4677,55,223.7,1371.8,478.0,16,1128,207.3,22,0,10,7.1,406
Demarai Gray,4,7,138,2732,55,681.6,511.0,694.0,2,518,188.9,8,0,4,1.1,384
Demetri Mitchell,0,0,8,90,0,31.6,24.8,0.0,2,35,5.6,1,0,0,0.0,669
Diafra Sakho,3,1,36,475,15,44.7,119.39999999999999,155.0,3,97,31.9,0,0,2,0.2,928
Didier Ndong,1,1,67,2520,48,310.1,340.4,140.0,1,397,78.9,5,0,5,0.0,1177
Diego Cavalieri,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,633
Diego Da Silva Costa,20,11,196,3083,30,687.9,982.6,1891.0,25,657,355.0,14,0,10,32.6,211
Dieumerci Mbokani,0,2,27,764,16,107.3,52.4,235.0,0,43,39.6,3,0,0,0.0,569
Dimitri Payet,2,8,81,1513,28,1096.6,414.0,516.0,10,347,202.6,4,0,2,6.2,461
Dimitrios Konstantopoulos,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,273
Dion Henry,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,555
Dion Pereira,0,0,2,25,1,14.6,4.2,4.0,0,6,2.3,0,0,0,0.0,659
Dionatan do Nascimento Teixeira,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.4,326
Divock Origi,7,4,97,1478,19,264.4,360.0,551.0,8,300,116.1,7,0,0,5.7,455
Dodi Lukebakio,0,0,1,15,1,24.7,6.6,5.0,0,5,3.6,0,0,0,0.0,615
Domingos Quina,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,1178
Dominic Calvert-Lewin,5,8,105,2218,35,332.6,407.2,712.0,4,301,144.29999999999998,6,0,5,3.6,754
Dominic Solanke,1,2,38,581,4,199.4,123.8,350.0,2,107,66.4,3,0,0,1.6,829
Donald Love,0,1,21,611,11,73.6,157.6,17.0,1,133,24.9,1,0,1,4.2,506
Dujon Sterling,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,600
Duncan Watmore,0,5,43,1025,20,159.7,118.6,241.0,1,125,51.4,2,0,1,0.1,353
Dusan Kuciak,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.2,517
Dusan Tadic,9,10,230,5202,72,2095.0,1044.0,1475.0,14,840,461.5,23,0,8,5.2,626
Dwight Gayle,6,3,94,1946,31,333.6,352.0,808.0,8,276,148.7,6,0,3,1.1,301
Dwight McNeil,0,0,1,1,0,0.0,0.0,0.0,0,3,0.0,0,0,0,0.0,646
Eden Hazard,28,15,397,5402,56,2434.1,1972.6,2277.0,57,1568,668.9000000000001,29,0,5,37.0,186
Ederson Santana de Moraes,0,0,158,3195,26,10.0,546.2,0.0,10,666,55.6,16,0,1,9.0,240
Edimilson Fernandes,0,3,67,1842,38,207.2,218.6,286.0,0,271,70.9,5,0,5,0.2,998
Eduardo Dos Reis Carvalho,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,663
Eduardo dos Reis Carvalho,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,95
Edward Nketiah,0,0,3,17,1,1.9,5.0,17.0,0,10,2.3,0,0,0,0.0,560
Eldin Jakupovic,0,0,90,2160,42,0.3,622.0,4.0,7,467,62.599999999999994,5,0,0,22.0,620
Eliaquim Mangala,0,0,22,617,7,19.9,113.8,32.0,0,118,16.8,2,0,0,0.4,727
Elias Kachunga,1,1,46,1327,23,152.1,151.0,246.0,0,151,54.5,6,0,1,0.1,181
Elliot Embleton,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,617
Elliott Moore,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,670
Emerson Hyndman,0,0,1,58,1,12.5,5.0,0.0,0,6,1.8,0,0,0,0.0,629
Emerson Palmieri dos Santos,0,1,14,278,4,28.7,61.8,48.0,0,68,13.8,1,0,0,0.1,614
Emilio Nsue Lopez,0,0,10,320,5,31.9,47.6,38.0,0,49,11.9,1,0,0,0.2,279
Emre Can,8,8,196,4460,57,970.9,1058.6,731.0,22,935,275.9,17,0,14,7.0,431
Enner Valencia,3,3,54,927,12,117.6,194.2,490.0,3,173,79.0,2,0,1,1.7,929
Erdal Rakip,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,606
Eric Bailly,1,0,160,3058,21,59.4,703.2,177.0,17,790,94.2,20,0,6,14.0,526
Eric Dier,2,2,178,5865,54,517.2,1267.8000000000002,604.0,6,982,239.3,31,0,10,7.5,774
Eric Maxim Choupo-Moting,5,5,107,2241,45,327.5,505.6,851.0,9,341,168.1,5,0,3,1.9,497
Erik Lamela,3,5,83,1421,14,558.3,326.6,589.0,5,279,146.9,8,0,5,3.4,779
Erik Pieters,0,3,174,5868,100,601.0,1150.6,188.0,10,1070,194.39999999999998,17,0,10,7.1000000000000005,653
Erwin Mulder,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,576
Ethan Ampadu,0,0,1,10,1,0.0,7.4,0.0,0,6,0.7,0,0,0,0.0,558
Ethan Robson,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,615
Etienne Capoue,8,3,179,4741,89,862.6999999999999,857.8,663.0,14,806,238.39999999999998,11,0,8,24.299999999999997,825
Eunan O'Kane,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.3,40
Evandro Goebel,0,0,18,576,10,171.0,42.4,20.0,0,88,23.2,3,0,1,0.0,630
Ezekiel Fryers,0,1,9,188,7,36.3,41.6,8.0,0,38,8.6,0,0,0,0.0,580
Ezequiel Schelotto,0,0,20,1313,30,99.2,210.0,73.0,0,183,38.2,0,0,3,0.1,538
Fabian Delph,2,2,68,1964,21,306.0,437.4,105.0,0,460,84.7,6,0,3,0.6,473
Fabio Borini,2,0,49,1742,34,257.3,217.0,406.0,3,177,87.4,5,0,5,0.6,354
Fabio Pereira da Silva,0,0,58,1847,30,273.9,355.8,39.0,8,347,67.1,6,0,8,0.4,527
Federico Fernández,1,2,148,5106,85,113.60000000000001,1315.4,393.0,14,935,182.9,13,0,12,5.199999999999999,717
Fernando Francisco Reges,0,0,18,568,10,65.7,115.2,29.0,1,106,21.0,1,0,3,0.2,485
Fernando Llorente,16,3,168,2666,53,556.3000000000001,700.0,1185.0,24,582,242.9,6,0,3,9.6,871
Fernando Luiz Rosa,7,5,198,5635,51,1087.6,1346.8000000000002,775.0,12,1079,320.9,25,2,11,6.1,483
Fikayo Tomori,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,503
Filip Lesniak,0,1,4,5,0,11.2,18.6,0.0,0,14,3.0,0,0,0,0.0,671
Florent Hadergjonaj,0,1,51,1670,28,381.8,310.0,95.0,5,274,78.8,4,0,3,0.1,521
Florian Lejeune,0,2,66,2103,32,92.3,557.0,139.0,6,406,78.9,5,0,3,0.9,294
Florin Gardos,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,300
Fousseni Diabaté,0,1,21,579,12,130.8,98.6,67.0,0,72,29.7,0,0,1,0.1,601
Fraizer Campbell,1,0,16,165,4,25.9,42.4,84.0,0,56,15.2,0,0,0,1.0,121
Francis Coquelin,0,1,59,1943,33,331.0,313.8,125.0,1,338,77.2,5,0,5,2.4,40
Francisco Femenía Far,1,1,65,1709,34,302.8,327.2,113.0,9,389,74.5,5,0,2,1.4,407
Franck Tabanou,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,364
Fraser Forster,0,0,207,5220,78,10.0,1041.8,0.0,10,976,105.3,18,0,3,8.9,600
Freddie Woodman,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,529
Fredrik Ulvestad,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,640
Gabriel Armando de Abreu,0,0,45,1517,18,84.5,295.8,119.0,2,296,50.0,5,0,6,0.9,11
Gabriel Fernando de Jesus,20,11,193,2311,17,526.2,939.4000000000001,1525.0,30,731,297.8,12,0,8,31.8,884
Gareth Barry,3,3,124,4030,63,675.5,857.2,439.0,3,658,197.0,11,0,14,4.0,288
Gareth McAuley,6,1,139,3594,60,79.2,999.1999999999999,369.0,14,649,144.70000000000002,7,0,5,25.2,861
Gary Cahill,6,0,252,5378,56,156.4,1328.2,499.0,17,1225,198.70000000000002,26,1,6,18.3,176
Gastón Ramírez,2,3,59,1539,22,509.9,287.2,364.0,6,244,115.6,6,1,8,0.5,491
Gaël Clichy,1,0,87,2123,24,314.8,407.4,38.0,9,493,76.1,8,0,2,1.9,223
Gaëtan Bong,0,0,63,2237,36,154.6,346.2,18.0,5,369,52.1,6,0,2,0.2,59
Geoff Cameron,0,1,91,3151,55,242.2,619.8,220.0,5,560,108.6,8,0,3,0.6000000000000001,651
George Boyd,2,2,92,2837,45,268.4,330.6,376.0,2,386,97.2,9,0,3,0.2,62
George Friend,0,3,59,1964,35,169.1,436.0,213.0,6,371,82.0,4,0,4,1.8,276
George Honeyman,0,0,7,235,4,42.7,34.2,29.0,0,30,10.6,1,0,1,0.0,587
George Thomas,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,587
Georges-Kévin Nkoudou,0,0,19,277,2,57.0,43.0,67.0,0,46,16.4,1,0,1,0.0,957
Georginio Wijnaldum,7,11,234,5355,60,1050.7,990.2,1038.0,15,1056,308.4,26,0,3,3.9000000000000004,717
Gerard Deulofeu,1,1,38,893,9,292.1,147.0,239.0,3,140,67.8,2,0,1,1.2000000000000002,750
Gerhard Tremmel,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,682
Giannelli Imbula,0,1,24,796,20,111.3,65.0,44.0,1,126,22.0,2,0,1,0.2,677
Giedrius Arlauskis,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,639
Glen Johnson,0,0,61,2503,48,232.89999999999998,436.6,142.0,3,446,81.19999999999999,6,0,4,0.4,660
Glenn Murray,12,0,111,2184,36,271.8,492.4,779.0,16,319,153.1,8,0,9,5.7,71
Glenn Whelan,0,1,62,2276,40,336.6,392.6,41.0,3,380,77.0,7,0,5,0.7,668
Gnegneri Yaya Touré,5,2,102,2168,19,530.3,579.2,407.0,6,521,151.6,12,0,5,1.8,480
Grady Diangana,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,636
Granit Xhaka,3,11,194,5742,82,1449.0,1242.2,571.0,10,1099,326.1,22,2,15,10.2,47
Grant Hanley,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.4,292
Grant Leadbitter,1,0,28,710,12,139.9,93.4,88.0,1,125,31.9,3,0,1,0.0,284
Greg Luer,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,518
Greg Olley,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,514
Grzegorz Krychowiak,0,3,58,1634,30,220.9,271.8,91.0,4,249,58.4,4,0,2,0.1,533
Guido Carrillo,0,1,15,449,8,64.2,50.2,179.0,0,40,29.4,1,0,0,0.0,607
Guillermo Varela,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,246
Gylfi Sigurdsson,13,17,277,5584,110,1917.6,1391.0,1511.0,26,1080,482.3,13,0,4,12.700000000000001,727
Gökhan Inler,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,180
Gökhan Töre,0,1,10,240,4,87.8,28.2,33.0,0,29,14.6,1,0,0,0.1,467
Hal Robson-Kanu,5,2,84,1517,27,246.6,287.4,519.0,4,227,103.3,5,1,5,0.7,1007
Hamza Choudhury,0,1,13,375,9,20.2,68.0,16.0,0,60,10.4,0,0,1,0.0,571
Harrison Reed,0,0,3,64,1,1.4,11.0,0.0,0,16,1.3,0,0,0,0.1,307
Harry Arter,2,4,111,3915,75,609.1,628.0,412.0,6,669,164.6,12,1,15,0.6,76
Harry Bunn,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,179
Harry Kane,58,9,441,5597,53,1050.5,2493.4,3885.0,64,1701,743.4,29,0,8,61.0,797
Harry Lewis,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,623
Harry Maguire,4,7,188,5727,113,411.5,1663.4,917.0,15,1199,299.4,13,0,12,11.700000000000001,351
Harry Souttar,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,550
Harry Wilson,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,653
Harry Winks,1,2,61,1262,15,294.29999999999995,272.4,91.0,0,308,65.9,4,0,1,0.1,904
Harvey Barnes,0,0,3,8,0,1.0,0.2,6.0,0,8,0.6,0,0,0,0.0,642
Henri Saivet,1,0,8,83,2,0.8,49.8,7.0,1,27,5.8,0,0,0,0.0,516
Henrikh Mkhitaryan,7,10,180,3060,25,1240.0,832.6,827.0,12,690,290.0,22,0,3,9.6,549
Heung-Min Son,26,17,352,4355,36,1230.5,1479.1999999999998,2338.0,29,1056,504.7,24,0,2,25.0,792
Heurelho Gomes,0,0,177,5465,104,10.2,1291.4,0.0,10,1075,130.0,12,0,1,2.9,804
Hiram Boateng,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,543
Hugo Lloris,0,0,287,6244,59,20.1,1391.0,2.0,12,1359,141.0,30,0,1,17.200000000000003,755
Håvard Nordtveit,0,1,31,957,20,63.3,155.4,43.0,0,160,26.1,3,0,2,0.1,465
Héctor Bellerín,3,9,251,5553,78,1069.3,991.6,879.0,23,1225,293.9,22,0,9,24.200000000000003,13
Ibrahim Afellay,0,0,21,546,14,60.7,44.6,63.0,0,92,16.6,0,0,1,0.0,673
Idrissa Gueye,3,4,167,5430,76,737.7,1132.8,403.0,16,1092,227.5,18,1,17,1.3,643
Ikechi Anya,0,0,1,10,0,0.0,0.0,0.0,0,3,0.0,0,0,0,0.0,419
Ilkay Gündogan,7,3,123,2208,23,616.0,568.2,607.0,11,572,178.9,9,0,3,3.5999999999999996,489
Isaac Hayden,1,0,41,1365,25,164.7,273.6,144.0,0,171,58.2,3,0,7,0.2,496
Isaac Success,1,1,28,519,9,96.7,146.2,225.0,0,87,46.8,1,0,2,0.0,837
Isaiah Brown,0,0,16,302,8,86.2,33.2,25.0,0,60,14.5,0,0,0,0.0,481
Islam Slimani,8,5,108,1650,27,369.2,421.4,631.0,10,347,140.9,6,0,2,0.8999999999999999,779
Jack Butland,0,0,145,3600,69,10.0,1135.2,0.0,18,791,114.7,8,0,0,3.4,644
Jack Colback,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.7,299
Jack Cork,2,2,150,5652,90,554.8,920.8,433.0,6,881,190.6,15,0,14,3.7,457
Jack Payne,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,177
Jack Rodwell,0,1,38,1492,32,131.0,235.0,233.0,1,200,60.0,2,0,4,0.6,350
Jack Rose,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.2,548
Jack Simpson,0,0,1,71,2,0.0,6.2,0.0,0,10,0.6,0,0,0,0.2,570
Jack Stephens,2,1,118,3451,57,126.5,857.0,282.0,12,701,126.5,11,1,7,5.7,817
Jack Wilshere,1,6,107,3135,61,826.2,566.8,490.0,4,548,187.8,9,0,10,1.2,41
Jacob Murphy,1,2,51,1137,25,159.7,161.8,227.0,2,171,54.7,2,0,0,0.1,478
Jairo Riedewald,0,0,23,435,6,21.5,74.4,12.0,0,100,10.6,2,0,0,0.1,482
Jake Hesketh,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,586
Jake Livermore,3,3,166,5641,103,636.6,1011.0,490.0,8,833,214.3,12,1,10,0.5,583
